pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
155.7004,-148.3762,180.0,bottom,BOOT1,,,SW_SPST_TL3342,SW_SPST,smt
222.5954,-157.6832,180.0,bottom,C1,,,C_0805_2012Metric,47uF,smt
240.1544,-148.5392,0.0,bottom,C10,,,C_0402_1005Metric,12p,smt
243.1034,-151.0792,90.0,bottom,C11,,,C_0402_1005Metric,12p,smt
225.745,-160.5534,180.0,bottom,C12,,,C_0805_2012Metric,2u2,smt
187.6552,-56.0582,-90.0,bottom,C13,,,C_0402_1005Metric,100nF,smt
187.645,-62.8396,90.0,bottom,C14,,,C_0805_2012Metric,1uF,smt
194.8078,-62.8142,90.0,bottom,C15,,,C_0805_2012Metric,10uF,smt
91.5314,-39.5732,0.0,bottom,C16,,,C_0805_2012Metric,10n,smt
95.4684,-39.5732,180.0,bottom,C17,,,C_0805_2012Metric,10n,smt
223.6724,-146.6622,90.0,bottom,C2,,,C_0402_1005Metric,100nF,smt
234.8484,-145.2652,90.0,bottom,C3,,,C_0402_1005Metric,100nF,smt
237.998,-154.3558,0.0,bottom,C4,,,C_0402_1005Metric,100nF,smt
221.7928,-156.083,180.0,bottom,C5,,,C_0402_1005Metric,100nF,smt
233.8806,-159.2834,0.0,bottom,C6,,,C_0402_1005Metric,100nF,smt
235.9914,-146.1516,90.0,bottom,C7,,,C_0402_1005Metric,100nF,smt
224.9932,-145.034,90.0,bottom,C8,,,C_0402_1005Metric,100nF,smt
160.83,-156.7854,-90.0,bottom,C9,,,C_0402_1005Metric,100nF,smt
59.2504,-52.1472,90.0,bottom,D1,,,Diode_SOD-123,4148,smt
264.0379,-52.1472,90.0,bottom,D10,,,Diode_SOD-123,4148,smt
102.0064,-55.4482,-90.0,bottom,D100,,,Diode_SOD-123,4148,smt
292.6129,-52.1472,90.0,bottom,D11,,,Diode_SOD-123,4148,smt
311.6629,-52.1472,90.0,bottom,D12,,,Diode_SOD-123,4148,smt
330.7129,-52.1472,90.0,bottom,D13,,,Diode_SOD-123,4148,smt
349.7629,-52.1472,90.0,bottom,D14,,,Diode_SOD-123,4148,smt
373.5754,-52.1472,90.0,bottom,D15,,,Diode_SOD-123,4148,smt
392.6254,-52.1472,90.0,bottom,D16,,,Diode_SOD-123,4148,smt
411.6754,-52.1472,90.0,bottom,D17,,,Diode_SOD-123,4148,smt
59.69,-67.9948,-90.0,bottom,D18,,,Diode_SOD-123,4148,smt
83.5025,-67.9948,-90.0,bottom,D19,,,Diode_SOD-123,4148,smt
83.0629,-52.1472,90.0,bottom,D2,,,Diode_SOD-123,4148,smt
102.5525,-67.9948,-90.0,bottom,D20,,,Diode_SOD-123,4148,smt
121.6025,-67.9948,-90.0,bottom,D21,,,Diode_SOD-123,4148,smt
140.6525,-67.9948,-90.0,bottom,D22,,,Diode_SOD-123,4148,smt
159.7025,-67.9948,-90.0,bottom,D23,,,Diode_SOD-123,4148,smt
174.2948,-66.3702,0.0,bottom,D24,,,Diode_SOD-123,4148,smt
193.421,-66.4464,0.0,bottom,D25,,,Diode_SOD-123,4148,smt
216.8144,-67.9704,-90.0,bottom,D26,,,Diode_SOD-123,4148,smt
235.8644,-67.9704,-90.0,bottom,D27,,,Diode_SOD-123,4148,smt
254.9144,-67.9704,-90.0,bottom,D28,,,Diode_SOD-123,4148,smt
273.9644,-67.9704,-90.0,bottom,D29,,,Diode_SOD-123,4148,smt
121.1629,-52.1472,90.0,bottom,D3,,,Diode_SOD-123,4148,smt
293.0144,-67.9704,-90.0,bottom,D30,,,Diode_SOD-123,4148,smt
312.0644,-67.9704,-90.0,bottom,D31,,,Diode_SOD-123,4148,smt
348.48165,-67.941825,-90.0,bottom,D32,,,Diode_SOD-123,4148,smt
373.9769,-67.9704,-90.0,bottom,D33,,,Diode_SOD-123,4148,smt
393.0269,-67.9704,-90.0,bottom,D34,,,Diode_SOD-123,4148,smt
412.0769,-67.9704,-90.0,bottom,D35,,,Diode_SOD-123,4148,smt
59.2504,-95.0097,90.0,bottom,D36,,,Diode_SOD-123,4148,smt
87.8054,-94.9897,90.0,bottom,D37,,,Diode_SOD-123,4148,smt
111.6379,-95.0097,90.0,bottom,D38,,,Diode_SOD-123,4148,smt
130.6879,-95.0097,90.0,bottom,D39,,,Diode_SOD-123,4148,smt
140.2129,-52.1472,90.0,bottom,D4,,,Diode_SOD-123,4148,smt
149.7379,-95.0097,90.0,bottom,D40,,,Diode_SOD-123,4148,smt
168.7879,-95.0097,90.0,bottom,D41,,,Diode_SOD-123,4148,smt
187.8379,-95.0097,90.0,bottom,D42,,,Diode_SOD-123,4148,smt
206.8879,-95.0097,90.0,bottom,D43,,,Diode_SOD-123,4148,smt
225.9379,-95.0097,90.0,bottom,D44,,,Diode_SOD-123,4148,smt
244.9879,-95.0097,90.0,bottom,D45,,,Diode_SOD-123,4148,smt
264.0379,-95.0097,90.0,bottom,D46,,,Diode_SOD-123,4148,smt
283.0879,-95.0097,90.0,bottom,D47,,,Diode_SOD-123,4148,smt
302.1379,-95.0097,90.0,bottom,D48,,,Diode_SOD-123,4148,smt
321.1879,-95.0097,90.0,bottom,D49,,,Diode_SOD-123,4148,smt
159.2629,-52.1472,90.0,bottom,D5,,,Diode_SOD-123,4148,smt
373.5554,-94.9897,90.0,bottom,D50,,,Diode_SOD-123,4148,smt
392.6054,-95.0097,90.0,bottom,D51,,,Diode_SOD-123,4148,smt
411.6554,-94.9897,90.0,bottom,D52,,,Diode_SOD-123,4148,smt
59.5884,-106.1202,-90.0,bottom,D53,,,Diode_SOD-123,4148,smt
90.7034,-106.0968,-90.0,bottom,D54,,,Diode_SOD-123,4148,smt
116.7584,-106.1402,-90.0,bottom,D55,,,Diode_SOD-123,4148,smt
135.7884,-106.1202,-90.0,bottom,D56,,,Diode_SOD-123,4148,smt
154.8384,-106.1402,-90.0,bottom,D57,,,Diode_SOD-123,4148,smt
173.8884,-106.1402,-90.0,bottom,D58,,,Diode_SOD-123,4148,smt
185.0644,-104.4702,0.0,bottom,D59,,,Diode_SOD-123,4148,smt
178.3129,-52.1472,90.0,bottom,D6,,,Diode_SOD-123,4148,smt
204.01915,-104.4502,0.0,bottom,D60,,,Diode_SOD-123,4148,smt
223.1444,-104.4502,0.0,bottom,D61,,,Diode_SOD-123,4148,smt
250.0684,-106.1002,-90.0,bottom,D62,,,Diode_SOD-123,4148,smt
269.1184,-106.1002,-90.0,bottom,D63,,,Diode_SOD-123,4148,smt
288.1684,-106.1002,-90.0,bottom,D64,,,Diode_SOD-123,4148,smt
307.2184,-106.1012,-90.0,bottom,D65,,,Diode_SOD-123,4148,smt
326.2684,-106.1002,-90.0,bottom,D66,,,Diode_SOD-123,4148,smt
348.2594,-96.4692,-90.0,bottom,D67,,,Diode_SOD-123,4148,smt
373.9134,-106.1202,-90.0,bottom,D68,,,Diode_SOD-123,4148,smt
392.9634,-106.1202,-90.0,bottom,D69,,,Diode_SOD-123,4148,smt
206.8879,-52.1472,90.0,bottom,D7,,,Diode_SOD-123,4148,smt
412.0134,-106.1202,-90.0,bottom,D70,,,Diode_SOD-123,4148,smt
59.2504,-133.1097,90.0,bottom,D71,,,Diode_SOD-123,4148,smt
94.94915,-133.0397,90.0,bottom,D72,,,Diode_SOD-123,4148,smt
125.9054,-133.0897,90.0,bottom,D73,,,Diode_SOD-123,4148,smt
144.9554,-133.0897,90.0,bottom,D74,,,Diode_SOD-123,4148,smt
164.0054,-133.0897,90.0,bottom,D75,,,Diode_SOD-123,4148,smt
183.0554,-133.0897,90.0,bottom,D76,,,Diode_SOD-123,4148,smt
202.1054,-133.010325,90.0,bottom,D77,,,Diode_SOD-123,4148,smt
221.1554,-133.0897,90.0,bottom,D78,,,Diode_SOD-123,4148,smt
240.2054,-133.0897,90.0,bottom,D79,,,Diode_SOD-123,4148,smt
225.9379,-52.1472,90.0,bottom,D8,,,Diode_SOD-123,4148,smt
259.2554,-133.1097,90.0,bottom,D80,,,Diode_SOD-123,4148,smt
278.3054,-133.0897,90.0,bottom,D81,,,Diode_SOD-123,4148,smt
297.3554,-133.0897,90.0,bottom,D82,,,Diode_SOD-123,4148,smt
316.4054,-133.1097,90.0,bottom,D83,,,Diode_SOD-123,4148,smt
342.59915,-133.1097,90.0,bottom,D84,,,Diode_SOD-123,4148,smt
373.5754,-133.1097,90.0,bottom,D85,,,Diode_SOD-123,4148,smt
392.6254,-133.1097,90.0,bottom,D86,,,Diode_SOD-123,4148,smt
411.6754,-133.1097,90.0,bottom,D87,,,Diode_SOD-123,4148,smt
59.6138,-144.144,-90.0,bottom,D88,,,Diode_SOD-123,4148,smt
85.80755,-144.144,-90.0,bottom,D89,,,Diode_SOD-123,4148,smt
244.9879,-52.1472,90.0,bottom,D9,,,Diode_SOD-123,4148,smt
109.62005,-144.144,-90.0,bottom,D90,,,Diode_SOD-123,4148,smt
133.43255,-144.144,-90.0,bottom,D91,,,Diode_SOD-123,4148,smt
204.3684,-149.8854,90.0,bottom,D92,,,Diode_SOD-123,4148,smt
276.352,-144.1694,-90.0,bottom,D93,,,Diode_SOD-123,4148,smt
300.1645,-144.1694,-90.0,bottom,D94,,,Diode_SOD-123,4148,smt
323.977,-144.1694,-90.0,bottom,D95,,,Diode_SOD-123,4148,smt
347.7895,-144.1694,-90.0,bottom,D96,,,Diode_SOD-123,4148,smt
373.98325,-144.1694,-90.0,bottom,D97,,,Diode_SOD-123,4148,smt
393.03325,-144.1694,-90.0,bottom,D98,,,Diode_SOD-123,4148,smt
412.08325,-144.1694,-90.0,bottom,D99,,,Diode_SOD-123,4148,smt
187.6552,-52.5302,-90.0,bottom,F1,,,Fuse_1206_3216Metric,500mA,smt
191.3874,-42.5272,0.0,bottom,FB1,,,BEADC1608X95N,600R,tht
184.1794,-39.422,0.0,bottom,J1,,,USB_C_Receptacle_HRO_TYPE-C-31-M-12,USB_C_Receptacle_USB2.0,smt
50.8454,-50.8962,180.0,bottom,MX1,,,SW_MX_HS_1U,MX_SW_HS,smt
255.6329,-50.8962,180.0,bottom,MX10,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
284.2079,-50.8962,180.0,bottom,MX11,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
303.2579,-50.8962,180.0,bottom,MX12,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
322.3079,-50.8962,180.0,bottom,MX13,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
341.3579,-50.8962,180.0,bottom,MX14,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
365.1704,-50.8962,180.0,bottom,MX15,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
384.2204,-50.8962,180.0,bottom,MX16,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
403.2704,-50.8962,180.0,bottom,MX17,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
50.8454,-74.7087,180.0,bottom,MX18,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
74.6579,-74.7087,180.0,bottom,MX19,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
74.6579,-50.8962,180.0,bottom,MX2,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
93.7079,-74.7087,180.0,bottom,MX20,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
112.7579,-74.7087,180.0,bottom,MX21,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
131.8079,-74.7087,180.0,bottom,MX22,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
150.8579,-74.7087,180.0,bottom,MX23,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
169.9079,-74.7087,180.0,bottom,MX24,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
188.9579,-74.7087,180.0,bottom,MX25,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
208.0079,-74.7087,180.0,bottom,MX26,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
227.0579,-74.7087,180.0,bottom,MX27,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
246.1079,-74.7087,180.0,bottom,MX28,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
265.1579,-74.7087,180.0,bottom,MX29,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
112.7579,-50.8962,180.0,bottom,MX3,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
284.2079,-74.7087,180.0,bottom,MX30,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
303.2579,-74.7087,180.0,bottom,MX31,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
331.8129,-74.6887,180.0,bottom,MX32,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
365.1704,-74.7087,180.0,bottom,MX33,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
384.2204,-74.7087,180.0,bottom,MX34,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
403.2704,-74.7087,180.0,bottom,MX35,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
50.8454,-93.7587,180.0,bottom,MX36,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
79.4004,-93.7387,180.0,bottom,MX37,,,SW_MX_HS_CPG151101S11_1.5u,MX_SW_HS,smt
103.2329,-93.7587,180.0,bottom,MX38,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
122.2829,-93.7587,180.0,bottom,MX39,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
131.8079,-50.8962,180.0,bottom,MX4,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
141.3329,-93.7587,180.0,bottom,MX40,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
160.3829,-93.7587,180.0,bottom,MX41,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
179.4329,-93.7587,180.0,bottom,MX42,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
198.4829,-93.7587,180.0,bottom,MX43,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
217.5329,-93.7587,180.0,bottom,MX44,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
236.5829,-93.7587,180.0,bottom,MX45,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
255.6329,-93.7587,180.0,bottom,MX46,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
274.6829,-93.7587,180.0,bottom,MX47,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
293.7329,-93.7587,180.0,bottom,MX48,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
312.7829,-93.7587,180.0,bottom,MX49,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
150.8579,-50.8962,180.0,bottom,MX5,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
365.1504,-93.7387,180.0,bottom,MX50,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
384.2004,-93.7587,180.0,bottom,MX51,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
403.2504,-93.7387,180.0,bottom,MX52,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
50.8254,-112.7887,180.0,bottom,MX53,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
81.78165,-112.7887,180.0,bottom,MX54,,,SW_MX_HS_CPG151101S11_1.75u,MX_SW_HS,smt
107.9754,-112.7887,180.0,bottom,MX55,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
127.0254,-112.7887,180.0,bottom,MX56,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
146.0754,-112.8087,180.0,bottom,MX57,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
165.1254,-112.8087,180.0,bottom,MX58,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
184.1754,-112.7887,180.0,bottom,MX59,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
169.9079,-50.8962,180.0,bottom,MX6,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
203.2254,-112.7887,180.0,bottom,MX60,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
222.2754,-112.7887,180.0,bottom,MX61,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
241.3254,-112.7887,180.0,bottom,MX62,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
260.3754,-112.7887,180.0,bottom,MX63,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
279.4254,-112.7887,180.0,bottom,MX64,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
298.4754,-112.7887,180.0,bottom,MX65,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
317.5254,-112.7887,180.0,bottom,MX66,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
338.95665,-103.2637,180.0,bottom,MX67,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
365.1704,-112.8087,180.0,bottom,MX68,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
384.2204,-112.8087,180.0,bottom,MX69,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
198.4829,-50.8962,180.0,bottom,MX7,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
403.2704,-112.8087,180.0,bottom,MX70,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
50.8454,-131.8587,180.0,bottom,MX71,,,SW_MX_HS_CPG151101S11_1u,MX_SW_HS,smt
