pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
114.3,-84.808,-90.0,bottom,C1,CL05B104KB54PNC,,C_0402_1005Metric,100nF,smt
121.3104,-92.8142,90.0,bottom,C10,,,C_0402_1005Metric,100nF,smt
123.19,-92.3442,90.0,bottom,C11,,,C_0805_2012Metric,2u2,smt
120.3096,-98.3234,180.0,bottom,C12,,,C_0805_2012Metric,2u2,smt
122.1994,-95.2246,180.0,bottom,C13,,,C_0805_2012Metric,2u2,smt
130.5814,-108.43,-90.0,bottom,C14,,,C_0402_1005Metric,100nF,smt
118.9,-102.87,180.0,bottom,C15,,,C_0402_1005Metric,100nF,smt
130.6068,-86.7944,90.0,bottom,C16,,,C_0402_1005Metric,100nF,smt
127.0625,-111.2182,180.0,bottom,C17,,,C_0402_1005Metric,15p,smt
124.0145,-108.6502,-90.0,bottom,C18,,,C_0402_1005Metric,15p,smt
117.53,-111.25,-90.0,bottom,C19,,,C_0402_1005Metric,100nF,smt
116.078,-87.249,-90.0,bottom,C2,,,C_0805_2012Metric,4.7uF,smt
115.443,-109.192,-90.0,bottom,C20,,,C_0402_1005Metric,100nF,smt
119.761,-88.9,180.0,bottom,C3,,,C_0805_2012Metric,10uF,smt
133.6548,-97.5106,0.0,bottom,C4,,,C_0805_2012Metric,47uF,smt
131.0386,-106.807,0.0,bottom,C5,,,C_0402_1005Metric,100nF,smt
136.906,-97.4852,-90.0,bottom,C6,,,C_0402_1005Metric,100nF,smt
116.1,-91.8,90.0,bottom,C7,,,C_0402_1005Metric,100nF,smt
121.8184,-105.3058,-90.0,bottom,C8,,,C_0402_1005Metric,100nF,smt
121.1098,-96.774,180.0,bottom,C9,,,C_0402_1005Metric,100nF,smt
118.4,-81.6,180.0,bottom,F1,,,Fuse_1206_3216Metric,500mA,smt
133.096,-82.523,-90.0,bottom,FB1,,,BEADC1608X95N,600R,tht
126.8248,-77.3138,0.0,bottom,J1,,,USB_C_31-M-12,USB_C_Receptacle_USB2.0,smt
114.362498,-115.846249,0.0,bottom,J2,,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02_Pin,tht
140.995399,-101.39,-90.0,top,J3,,,IDC_2X17_1.27MM,Conn_02x17_Odd_Even,tht
144.0,-86.74,0.0,bottom,J4,,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02_Pin,tht
136.8,-82.4375,90.0,bottom,LED1,,,LED_0805_2012Metric,CAPS,smt
118.6942,-93.98,180.0,bottom,R1,,,R_0402_1005Metric,200,smt
144.01,-90.11,-90.0,bottom,R10,,,R_0402_1005Metric,27,smt
117.5,-115.8,-90.0,bottom,R11,,,R_0402_1005Metric,1K,smt
116.49,-102.9,180.0,bottom,R12,,,R_0402_1005Metric,27,smt
124.82,-84.11,90.0,bottom,R2,,,R_0402_1005Metric,5.1k,smt
134.8,-81.2,-90.0,bottom,R3,,,R_0402_1005Metric,5.1k,smt
126.238,-95.4512,-90.0,bottom,R4,,,R_0402_1005Metric,27,smt
133.6802,-112.266,-90.0,bottom,R5,,,R_0402_1005Metric,10k,smt
125.222,-95.4532,-90.0,bottom,R6,,,R_0402_1005Metric,27,smt
132.588,-112.266,90.0,bottom,R7,,,R_0402_1005Metric,1k,smt
125.7808,-106.2228,0.0,bottom,R8,,,R_0402_1005Metric,1k,smt
117.53,-109.17,-90.0,bottom,R9,,,R_0402_1005Metric,10k,smt
119.761,-85.725,180.0,bottom,U1,,,SOT-23,XC6206PxxxMR-Regulator_Linear,smt
127.0318,-85.9508,0.0,bottom,U2,,,SOT-143,PRTR5V0U2X,smt
132.9436,-91.0336,180.0,bottom,U3,,SOIC-8-208mil,SOIC_128JVSIQ_WIN,W25Q128JVS,smt
126.927,-100.9227,180.0,bottom,U4,,,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,RP2040,smt
116.4,-105.77,0.0,bottom,U5,,,SOT-26,74LVC1T45,smt
126.8925,-108.54395,180.0,bottom,Y1,,,Crystal_SMD_3225-4Pin_3.2x2.5mm,12Mhz,smt
