"Designator","Quantity","Value","Footprint","Package","MPN","DNP","Mount_Type","LCSC","Description","Sim.Device","Sim.Pins","JlcRotOffset","JlcPosOffset","MF","Description_1","Price","SnapEDA_Link","MP","Check_prices"
"BOOT1, RST1",2,"SW_SPST","SW_SPST_TL3342","SMD","TL3342F450QG",,"smt","C2886897","Switch",,,,,,,,,,
"C1",1,"47uF","C_0805_2012Metric","0805","CL21A476MQYNNNE",,"smt","C16780","Capacitor",,,,,,,,,,
"C10, C11",2,"12p","C_0402_1005Metric","0402","CL05C120JB5NNNC",,"smt","C26406","Capacitor",,,,,,,,,,
"C12",1,"2u2","C_0805_2012Metric","0805","CL21B225KAFNNNE",,"smt","C19110","Capacitor",,,,,,,,,,
"C13, C2, C3, C4, C5, C6, C7, C8, C9",9,"100nF","C_0402_1005Metric","0402","0402F104M500NT",,"smt","C1581","Capacitor",,,,,,,,,,
"C14",1,"1uF","C_0805_2012Metric","0805","CL21B105KAFNFNE",,"smt","C1712","Capacitor",,,,,,,,,,
"C15",1,"10uF","C_0805_2012Metric","0805","CL21A106KOQNNNE",,"smt","C1713","Capacitor",,,,,,,,,,
"C16, C17",2,"10n","C_0805_2012Metric","0805","ECHU1C103JX5",,"smt","C178414","Unpolarized capacitor, small symbol",,,,,,,,,,
"D1, D10, D100, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",100,4148,"Diode_SOD-123","SOD-123","1N4148W",,"smt","C84367","Diode, small symbol","D","1=K 2=A",,,,,,,,
"F1",1,"500mA","Fuse_1206_3216Metric","1206","ASMD1206-150",,"smt","C135341","Fuse",,,,,,,,,,
"FB1",1,"600R","BEADC1608X95N","0603","BLM18AG601SN1D",,"tht","C19330","Ferrite bead, small symbol",,,,,,,,,,
"J1",1,"USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12","SMD","TYPE-C-31-M-12A",,"smt","C5337088","USB Connector",,,180,"0,1.5",,,,,,
"R1",1,22,"R_0402_1005Metric","0402","0402WGJ0220TCE",,"smt","C25152","Resistor",,,,,,,,,,
"R2",1,220,"R_0402_1005Metric","0402","0402WGJ0221TCE",,"smt","C25151","Resistor",,,,,,,,,,
"R3, R4, R5, R6",4,"5.1k","R_0402_1005Metric","0402","0402WGJ0512TCE",,"smt","C25941","Resistor",,,,,,,,,,
"RGB1, RGB10, RGB11, RGB12, RGB13, RGB14, RGB15, RGB16, RGB17, RGB18, RGB19, RGB2, RGB20, RGB21, RGB22, RGB23, RGB24, RGB25, RGB26, RGB27, RGB28, RGB29, RGB3, RGB30, RGB31, RGB32, RGB33, RGB34, RGB35, RGB36, RGB37, RGB38, RGB39, RGB4, RGB40, RGB41, RGB42, RGB43, RGB44, RGB45, RGB46, RGB47, RGB48, RGB49, RGB5, RGB50, RGB51, RGB52, RGB53, RGB54, RGB55, RGB56, RGB57, RGB58, RGB59, RGB6, RGB60, RGB61, RGB62, RGB63, RGB64, RGB65, RGB66, RGB67, RGB68, RGB69, RGB7, RGB70, RGB71, RGB72, RGB73, RGB74, RGB75, RGB76, RGB77, RGB78, RGB79, RGB8, RGB80, RGB81, RGB82, RGB83, RGB84, RGB85, RGB86, RGB87, RGB88, RGB89, RGB9, RGB90, RGB91, RGB92, RGB93, RGB94, RGB95, RGB96, RGB97, RGB98, RGB99",99,"SK6812-E","SK6812-E","SMD","SK6812MINI-E",,"smt","C5149201","[RGB1-RGB99] RGB LED with integrated controllerBackMount;",,,,,,,,,,
"U1",1,"74LVC1T45","SOT-563","SOT-563","74LVC1T45Z6-7",,"smt","C441819","1.65V~5.5V 1 1 1.65V~5.5V SOT-563 Translators, Level Shifters ROHS",,,,,,,,,,
"U2",1,"STM32F411RETx","LQFP-64_10x10mm_P0.5mm","LQFP-64(10x10)","STM32F411RET6",,"smt","C94355","STMicroelectronics Arm Cortex-M4 MCU, 512KB flash, 128KB RAM, 100 MHz, 1.7-3.6V, 50 GPIO, LQFP64",,,,,,,,,,
"U3",1,"XC6206PxxxMR-Regulator_Linear","SOT-23","SOT-23-3L","XC6206P332MR-G",,"smt","C5446","200mA Fixed 3.3V Positive electrode 6V SOT-23-3L Voltage Regulators",,,,,,,,,,
"U4",1,"PRTR5V0U2X","SOT-143","SOT-143-4","PRTR5V0U2X",,"smt","C2827688","ESD protection diode",,,90,,,,,,,
"Y1",1,"16Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm","SMD3225-4P","X322516MOB4SI",,"smt","C12668","16MHz Surface Mount Crystal 12pF ±10ppm ±20ppm SMD3225-4P Crystals ROHS",,,,,,,,,,
